Date,Open,High,Low,Close,Volume
2019/10/22,9582.110352,9642.929688,9558.360352,9642.089844,81800
2019/10/23,9641.889648,9652.070313,9547.5,9567.75,82200
2019/10/24,9570.330078,9598.330078,9495.009766,9555.759766,79800
2019/10/25,9562.299805,9665.599609,9509.339844,9660.44043,90400
2019/10/28,9721.639648,9802.150391,9704.530273,9801.870117,129600
2019/10/29,9812.480469,9818.740234,9746.030273,9746.030273,136400
2019/10/30,9707.179688,9726.950195,9647,9681.540039,110300
2019/10/31,9709.099609,9720.969727,9626.929688,9635.330078,101000
2019/11/1,9621.889648,9814.669922,9604.30957,9802.330078,97200
2019/11/4,9828.599609,9908.200195,9828.599609,9868.129883,107600
2019/11/5,9885.019531,9982.339844,9847.200195,9938.610352,111600
2019/11/6,9947.30957,9947.30957,9829.75,9860.969727,104600
2019/11/7,9849.959961,9939.530273,9835.889648,9917.490234,97000
2019/11/8,9985.200195,10008.50977,9891,9895.339844,107700
2019/11/11,9821.410156,9821.410156,9664.05957,9680.570313,99900
2019/11/12,9675.55957,9699.419922,9570.44043,9670.139648,89000
2019/11/13,9678.650391,9702.509766,9622.30957,9687.849609,76500
2019/11/14,9689.929688,9768.669922,9677.759766,9746.55957,95400
2019/11/15,9741.929688,9777.69043,9647.990234,9647.990234,95400
2019/11/18,9635.80957,9725.780273,9624.950195,9715.269531,86100
2019/11/19,9721.009766,9889.75,9711.290039,9889.75,99200
2019/11/20,9885.900391,9908.629883,9796.950195,9809.049805,100800
2019/11/21,9772.030273,9818.490234,9733.44043,9774.44043,81400
2019/11/22,9794.320313,9875.709961,9573.469727,9626.900391,110800
2019/11/25,9626.410156,9643.230469,9515.330078,9626.360352,107200
2019/11/26,9662.410156,9698.599609,9609.730469,9677.230469,112200
2019/11/27,9643.110352,9694.219727,9589.209961,9648.389648,96800
2019/11/28,9650.269531,9679.959961,9594.370117,9622.139648,79400
2019/11/29,9614.709961,9633.139648,9490.849609,9582.160156,84800
2019/12/2,9603.019531,9647.950195,9582.320313,9605.19043,86100
2019/12/3,9585.75,9657.650391,9531.259766,9657.650391,85700
2019/12/4,9624.19043,9703.400391,9614.040039,9687.950195,94100
2019/12/5,9719.299805,9817.209961,9703.910156,9799.070313,107700
2019/12/6,9804.040039,9878.620117,9791.55957,9878.620117,100600
2019/12/9,9908.969727,9917.610352,9853.200195,9876.269531,118600
2019/12/10,9850.040039,9915.870117,9826.830078,9915.870117,115200
2019/12/11,9905.910156,9921.650391,9829.110352,9852.709961,119000
2019/12/12,9862.429688,9887.55957,9824.410156,9836.230469,107300
2019/12/13,9923.790039,10014.20996,9907.759766,10004.62012,144500
2019/12/16,10040.25977,10158.24023,10015.4502,10158.24023,172800
2019/12/17,10157.42969,10350.65039,10148.69043,10306.03027,209600
2019/12/18,10299.04981,10365.16016,10266.63965,10294.66016,172900
2019/12/19,10298.50977,10316.76953,10254.9502,10296.29004,143600
2019/12/20,10305.09961,10343.07031,10229.09961,10229.49023,147300
2019/12/23,10202.23047,10248.79981,10050.41016,10056.20996,137000
2019/12/24,10080.37012,10190.04004,10065.54981,10189.29004,112600
2019/12/25,10176.71973,10255.2002,10170.20996,10229.58008,122500
2019/12/26,10239.75977,10303.71973,10221.33984,10303.71973,125900
2019/12/27,10326.51953,10377.94043,10226.62012,10233.76953,164800
2019/12/30,10203.82031,10365.95996,10133.87988,10365.95996,152000
2019/12/31,10360.78027,10433.29004,10352.88965,10430.76953,128700
2020/1/2,10509.12012,10663.54981,10479.76953,10638.82031,183700
2020/1/3,10666.66016,10689.58984,10594.36035,10656.41016,159000
2020/1/6,10599.41016,10799.58008,10577.78027,10698.26953,187700
2020/1/7,10725.17969,10829.04981,10723.86035,10829.04981,171800
2020/1/8,10776.70996,10851.28027,10681.01953,10706.87012,202900
2020/1/9,10807.04004,10899.48047,10807.04004,10898.16992,170000
2020/1/10,10927.98047,10933.80957,10833.51953,10879.83984,145700
